Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Total Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1000135,145.4786,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,115.3492,5
Regular,FDR28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.025896485,165.021,5
Regular,FDL50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.042277867,126.5046,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195,55.1614,5
low fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,102.4016,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312421,81.4618,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903714,96.0726,5
Low Fat,FDW20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.024129332,124.173,5
Low Fat,FDX25,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568,181.9292,5
LF,FDX21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.084554569,109.8912,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044976,192.1846,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661,112.3886,5
Low Fat,NCR54,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.090486828,195.211,5
Low Fat,FDH19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,173.1738,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,222.1772,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023834,93.7436,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,197.611,5
Low Fat,FDJ56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.182514881,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,178.566,5
Regular,FDZ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,60.2194,5
Low Fat,NCK31,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,50.9666,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,261.6594,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,173.1764,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431917,76.1986,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241213,150.2392,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935576,221.9456,5
Regular,FDO19,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275,47.4034,5
Low Fat,FDO04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,57.2614,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128467,93.1804,5
Low Fat,NCJ30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.080640478,167.779,5
Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.01946418,196.3794,5
Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.046545786,59.9878,5
Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.184689756,35.4216,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,174.3054,5
low fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.037923509,61.651,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848436,46.8402,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029746,88.6856,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485328,126.2046,5
Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.085274988,119.6124,5
Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.108148913,95.6752,5
Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,62.9536,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115543,159.0946,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343,104.2964,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994654,150.5682,5
Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.182501773,239.2196,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,127.3336,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,256.3304,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,235.5248,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,82.425,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867353,264.6226,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,114.915,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,152.234,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266286,147.2076,5
